ProccessID, countOfDetection, Time(ms), countOfDetection2, Time(ms2)
1,1,43979,1,44320
1,1,46007,1,45603
1,1,38500,1,44930
1,1,44095,1,42209
1,1,43524,1,45294
1,1,45283,1,45496
1,1,43865,1,44667
1,1,45826,1,41232
1,1,44917,1,43916
1,1,44146,1,38463
1,1,39317,1,44711
1,1,44328,1,42761
1,1,44915,1,45280
1,1,44861,1,41908
1,1,44174,1,48531
1,1,43813,1,42503
1,1,44177,1,41739
1,1,46510,1,39368
1,1,25943,1,45814
1,1,33656,1,43985
1,1,59045,1,44394
1,1,47177,1,43999
1,1,49805,1,45579
1,1,46155,1,42500
1,1,44795,1,45855
1,1,46666,1,38496
1,1,50453,1,48938
1,1,31459,1,49029
1,1,43875,1,56718
1,1,36390,1,49192
1,1,41213,1,51250
1,1,34010,1,38906
1,1,40632,1,44778
1,1,43209,1,38187
1,1,30527,1,42113
1,1,32521,1,36200
1,1,30781,1,32474
1,1,39498,1,39747
1,1,33137,1,42282
1,1,39743,1,35693
1,1,37499,1,38956
1,1,43799,1,29835
1,1,43795,1,33430
1,1,39273,1,39152
1,1,42511,1,34299
1,1,33566,1,39065
1,1,29100,1,37925
1,1,44586,1,43848
1,1,26033,1,44219
1,1,43640,1,43862
1,1,26004,1,38412
1,1,67347,1,28514
1,1,78522,1,31276
1,1,52284,1,34398
1,1,43011,1,37766
1,1,29871,1,42787
1,1,29639,1,26854
1,1,35086,1,64763
1,1,51000,1,50348
1,1,37535,1,72422
1,1,37554,1,39732
1,1,44065,1,38243
1,1,32741,1,29495
1,1,37206,1,31852
1,1,31600,1,44850
1,1,30460,1,43623
1,1,36243,1,38642
1,1,36186,1,34675
1,1,34835,1,38552
1,1,39852,1,43321
1,1,43814,1,28658
1,1,36286,1,32542
1,1,38284,1,30682
1,1,44356,1,43340
1,1,28115,1,29814
1,1,27176,1,40403
1,1,31925,1,33638
1,1,44599,1,39336
1,1,31069,1,45457
1,1,29653,1,34337
1,1,30516,1,39128
1,1,45376,1,27835
1,1,29890,1,28882
1,1,34265,1,37633
1,1,39438,1,36732
1,1,43161,1,29445
1,1,42739,1,30093
1,1,31187,1,37533
1,1,30681,1,35953
1,1,33685,1,34063
1,1,35972,1,39804
1,1,44266,1,43817
1,1,31511,1,38873
1,1,43730,1,33241
1,1,34356,1,32926
1,1,40765,1,29301
1,1,43679,1,38524
1,1,30377,1,35757
1,1,33469,1,37948
1,1,37383,1,37942
1,1,37978,1,35373
1,1,36587,1,43825
1,1,28896,1,35652
1,1,35275,1,38000
1,1,40081,1,33519
1,1,37237,1,39434
1,1,41765,1,36065
1,1,52454,1,39342
1,1,43709,1,28453
1,1,42287,1,34082
1,1,37559,1,40548
1,1,41930,1,33602
1,1,40860,1,28292
1,1,42094,1,31979
1,1,43987,1,52267
1,1,45597,1,42311
1,1,40822,1,42475
1,1,44552,1,38453
1,1,41367,1,41011
1,1,33652,1,41634
1,1,40339,1,41164
1,1,44438,1,43443
1,1,31035,1,43276
1,1,30490,1,42341
1,1,30800,1,42308
1,1,30819,1,41929
1,1,31339,1,33490
1,1,31113,1,38753
1,1,30756,1,43785
1,1,31272,1,31342
1,1,37195,1,29003
1,1,31126,1,30908
1,1,30920,1,28481
1,1,31153,1,30478
1,1,31012,1,30660
1,1,31398,1,31547
1,1,30978,1,30027
1,1,37291,1,37543
1,1,30485,1,30424
1,1,30841,1,31742
1,1,30819,1,30490
1,1,30971,1,29796
1,1,31166,1,30582
1,1,31311,1,32054
1,1,30930,1,35301
1,1,30906,1,28367
1,1,30931,1,30681
1,1,30987,1,32062
1,1,30792,1,29289
1,1,31256,1,30369
1,1,30744,1,29789
1,1,31440,1,32418
1,1,30939,1,28326
1,1,31028,1,30279
1,1,36525,1,30361
1,1,31488,1,32098
1,1,31090,1,29491
1,1,30811,1,31912
1,1,30977,1,30034
1,1,31229,1,32044
1,1,25811,1,29277
1,1,18461,1,36703
1,1,24070,1,31597
1,1,25097,1,29049
1,1,19043,1,28622
1,1,20575,1,31643
1,1,19528,1,30526
1,1,24076,1,30156
1,1,24127,1,23641
1,1,26705,1,25073
1,1,15495,1,17266
1,1,21846,1,21242
1,1,23113,1,15421
1,1,31313,1,27997
1,1,30686,1,23871
1,1,35429,1,27167
1,1,31480,1,23371
1,1,30994,1,24747
1,1,31187,1,26597
1,1,31103,1,30462
1,1,31171,1,31760
1,1,32152,1,33683
1,1,32198,1,30490
1,1,30536,1,29556
1,1,30773,1,30435
1,1,30785,1,30737
1,1,30643,1,31388
1,1,30620,1,30383
1,1,30752,1,30546
1,1,30539,1,30714
1,1,31017,1,30714
1,1,31190,1,29297
1,1,31594,1,28599
1,1,19898,1,30676
1,1,24139,1,30544
1,1,24135,1,28904
1,1,23760,1,31637
1,1,25167,1,32488
1,1,23733,1,36930
1,1,24315,1,23398
1,1,23704,1,23793
1,1,26356,1,24002
1,1,23935,1,26545
1,1,25394,1,20592
1,1,23919,1,23070
1,1,25567,1,23854
1,1,24039,1,26948
1,1,25452,1,22743
1,1,24101,1,26001
1,1,26290,1,23366
1,1,24244,1,26200
1,1,26181,1,23297
1,1,27103,1,26354
1,1,26387,1,23172
1,1,29969,1,26958
1,1,24093,1,23028
1,1,26570,1,28009
1,1,24176,1,26568
1,1,24185,1,25475
1,1,23922,1,29227
1,1,26554,1,23455
1,1,24435,1,27411
1,1,24081,1,23122
1,1,23822,1,24387
1,1,26220,1,24356
1,1,25582,1,26623
1,1,22726,1,23047
1,0,23549,0,23871
1,0,23408,0,23905
1,0,26266,0,25610
1,0,23040,0,26393
1,0,23612,0,23060
1,0,23543,0,22352
1,0,39880,0,23541
1,0,24161,0,26146
1,0,34613,0,23857
1,0,20619,0,22353
1,0,25566,0,23675
1,0,23041,0,27344
1,0,23393,0,34841
1,0,23846,0,25277
1,0,23805,0,30558
1,0,23492,0,27309
1,0,23350,0,22733
1,0,23685,0,22827
1,0,23727,0,23645
1,0,23683,0,23521
1,0,23443,0,23486
1,0,24234,0,23920
1,0,23770,0,23667
1,0,23946,0,23728
1,0,23758,0,23646
1,0,23633,0,23084
1,1,24312,1,24123
1,1,23050,1,23810
1,1,23951,1,23881
1,1,24715,1,23996
1,1,28849,1,23747
1,1,24228,1,24055
1,1,23927,1,23469
1,1,23565,1,23829
1,1,23795,1,24004
1,1,24065,1,29047
1,1,23798,1,24353
1,1,23814,1,23903
1,0,23368,0,23931
1,0,23640,0,23621
1,0,23765,0,24009
1,0,23524,0,23916
1,0,22887,0,23939
1,0,23641,0,24355
1,0,23612,0,23679
1,0,23840,0,23625
1,0,23234,0,24103
1,0,23628,0,22826
1,0,23849,0,23415
1,0,23666,0,23438
1,0,23515,0,23876
1,0,24568,0,24019
1,0,28364,0,23303
1,0,23688,0,23660
1,0,23857,0,23485
1,0,23425,0,23882
1,0,19955,0,23706
1,0,20093,0,28729
1,0,21930,0,23794
1,0,30866,0,23884
1,0,30412,0,23594
1,1,21240,1,17831
1,1,12473,1,19720
1,1,18356,1,16768
1,1,18938,1,20436
1,0,25416,0,28504
1,0,23388,0,30339
1,0,24350,0,28006
1,0,24352,0,18422
1,1,23911,1,18930
1,1,24211,1,19737
1,1,24658,1,24400
1,1,24409,1,23254
1,1,24760,1,24310
1,1,32208,1,23937
1,1,22577,1,24593
1,1,24676,1,24122
1,1,23693,1,24389
1,1,25064,1,24989
1,1,24411,1,25295
1,1,24063,1,29330
1,1,24513,1,24953
1,1,24499,1,24232
1,1,23832,1,23687
1,1,23985,1,24448
1,1,23841,1,24041
1,1,23857,1,24799
1,1,24391,1,24171
1,1,24255,1,24526
1,1,24022,1,23932
1,1,24000,1,23988
1,1,24393,1,23769
1,1,23749,1,24015
1,1,24252,1,24308
1,1,23846,1,23839
1,1,24374,1,23927
1,1,31216,1,23979
1,1,24009,1,24395
1,1,24079,1,23931
1,1,24111,1,24277
1,1,24178,1,23784
1,1,24070,1,33149
1,1,24121,1,22793
1,1,24368,1,23919
1,1,24027,1,23989
1,1,24168,1,24260
1,1,24101,1,24217
1,1,24239,1,23986
1,1,23841,1,23890
1,1,24265,1,24182
1,1,23690,1,23935
1,1,24393,1,24183
1,1,23923,1,23908
1,1,23890,1,24277
1,1,24621,1,24134
1,1,23988,1,23904
1,1,23989,1,23828
1,1,24652,1,24251
1,1,28350,1,24034
1,1,24080,1,23511
1,1,23496,1,24220
1,1,24276,1,23383
1,1,23768,1,24188
1,1,24225,1,28222
1,1,22756,1,23959
1,1,24136,1,23762
1,1,24370,1,24557
1,1,23874,1,23881
1,1,23944,1,23869
1,1,24123,1,23428
1,1,23905,1,23942
1,1,24386,1,23973
1,1,23091,1,24020
1,1,24195,1,23567
1,1,23983,1,24220
1,1,24205,1,23874
1,1,24314,1,23908
1,1,23927,1,23565
1,1,24716,1,24326
1,1,30047,1,24000
1,1,24593,1,24236
1,1,24006,1,24505
1,1,24601,1,23985
1,1,24246,1,23849
1,1,23354,1,24339
1,1,23792,1,29890
1,1,24728,1,24831
1,1,24066,1,23497
1,1,23463,1,23856
1,1,24944,1,23915
1,1,31697,1,24134
1,1,32539,1,24196
1,1,38115,1,24017
1,1,29575,1,23947
1,1,29497,1,24111
1,1,28601,1,29534
1,1,34003,1,31173
1,1,39758,1,31079
1,1,29458,1,39304
1,1,34508,1,28169
1,1,39615,1,28888
1,1,40892,1,33125
1,1,32362,1,33520
1,1,33739,1,36527
1,1,39770,1,32828
1,1,36229,1,39643
1,1,39608,1,37217
1,1,34421,1,34416
1,1,37840,1,34964
1,1,44879,1,32077
1,1,31710,1,41811
1,1,41816,1,39630
1,1,26588,1,33968
1,1,29842,1,39975
1,1,30016,1,35761
1,1,33440,1,36895
1,1,40190,1,37325
1,1,30216,1,33019
1,1,34139,1,32819
1,1,39388,1,28207
1,1,42723,1,33477
1,1,31746,1,32184
1,1,36450,1,38088
1,1,30201,1,33620
1,1,33013,1,39221
1,1,27818,1,33755
1,1,30254,1,39904
1,1,29494,1,33333
1,1,33545,1,36341
1,1,40707,1,30088
1,1,33693,1,30415
1,1,40627,1,27889
1,1,42952,1,29215
1,1,32723,1,33428
1,1,27850,1,39666
1,1,28860,1,34034
1,1,38430,1,40677
1,1,30457,1,34349
1,1,30468,1,38343
1,1,33314,1,34436
1,1,40263,1,28672
1,1,41577,1,27747
1,1,33830,1,39615
1,1,39893,1,28314
1,1,37579,1,33170
1,1,37719,1,39949
1,1,31222,1,34626
1,1,42342,1,39270
1,1,28038,1,35480
1,1,28368,1,41403
1,1,28156,1,43716
1,1,30145,1,32603
1,1,30133,1,29647
1,1,33543,1,36566
1,1,39336,1,29339
1,1,42665,1,29212
1,1,28741,1,28366
1,1,33011,1,29552
1,1,29067,1,33967
1,1,40743,1,39516
1,1,28279,1,34771
1,1,28696,1,38639
1,1,29252,1,29396
1,1,34063,1,30094
1,1,40029,1,33525
1,1,28287,1,36957
1,1,28005,1,28913
1,1,30082,1,27739
1,1,43584,1,33718
1,1,29326,1,39556
1,1,29531,1,29749
1,1,28276,1,28552
1,1,27348,1,29347
1,1,30229,1,34964
1,1,29301,1,39075
