ProccessID, countOfDetection, Time(ms)
1, 1, 48667  
1, 1, 51536  
1, 1, 41415  
1, 1, 41114  
1, 1, 24029  
1, 1, 15756  
1, 1, 12134  
1, 1, 43191  
1, 1, 35836  
1, 1, 42263  
1, 1, 39240  
1, 1, 54705  
1, 1, 40528  
1, 1, 40927  
1, 1, 44820  
1, 1, 48859  
1, 1, 41516  
1, 1, 45137  
1, 1, 50363  
1, 1, 40166  
1, 1, 51422  
1, 1, 43471  
1, 1, 44418  
1, 1, 48913  
1, 1, 49276  
1, 1, 43536  
1, 1, 42601  
1, 1, 45855  
1, 1, 43325  
1, 1, 46273  
1, 1, 53506  
1, 1, 47360  
1, 1, 40127  
1, 1, 46110  
1, 1, 43791  
1, 1, 45833  
1, 1, 40418  
1, 1, 46010  
1, 1, 26256  
1, 1, 31659  
1, 1, 22869  
1, 1, 18866  
1, 1, 29616  
1, 1, 21632  
1, 1, 26237  
1, 1, 32590  
1, 1, 16478  
1, 1, 47869  
1, 1, 44666  
1, 1, 48298  
1, 1, 51064  
1, 1, 43186  
1, 1, 50568  
1, 0, 43426  
1, 0, 54221  
1, 0, 44004  
1, 0, 47290  
1, 0, 49077  
1, 0, 47329  
1, 0, 42679  
1, 0, 42995  
1, 0, 40072  
1, 0, 44581  
1, 0, 54040  
1, 0, 47448  
1, 0, 39487  
1, 0, 45596  
1, 0, 40271  
1, 0, 41208  
1, 0, 42432  
1, 0, 41376  
1, 0, 47571  
1, 0, 42426  
1, 0, 43605  
1, 0, 48147  
1, 0, 35725  
1, 0, 45657  
1, 0, 42126  
1, 0, 40099  
1, 0, 41594  
1, 0, 40157  
1, 0, 53068  
1, 1, 40288  
1, 1, 38804  
1, 1, 44564  
1, 1, 43022  
1, 1, 39033  
1, 1, 40558  
1, 1, 44127  
1, 1, 41300  
1, 1, 36526  
1, 1, 34421  
1, 1, 38339  
1, 1, 38633  
1, 1, 38377  
1, 1, 28047  
1, 1, 46255  
1, 1, 36397  
1, 1, 38082  
1, 1, 40275  
1, 1, 27537  
1, 1, 33133  
1, 1, 37205  
1, 1, 42095  
1, 1, 36181  
1, 1, 32910  
1, 1, 40008  
1, 1, 36709  
1, 1, 46506  
1, 1, 37538  
1, 1, 33144  
1, 1, 37654  
1, 1, 37563  
1, 1, 38484  
1, 1, 30673  
1, 1, 37109  
1, 1, 34791  
1, 1, 43833  
1, 1, 44580  
1, 1, 42936  
1, 1, 48932  
1, 1, 42534  
1, 1, 42081  
1, 1, 50312  
1, 1, 36547  
1, 1, 37074  
1, 1, 39540  
1, 1, 38848  
1, 1, 43963  
1, 1, 38298  
1, 1, 41348  
1, 1, 48733  
1, 1, 42511  
1, 1, 48614  
1, 1, 38695  
1, 1, 36842  
1, 1, 46390  
1, 1, 49544  
1, 1, 40472  
1, 1, 41070  
1, 1, 36440  
1, 1, 40904  
1, 1, 48506  
1, 1, 35423  
1, 1, 39570  
1, 1, 37731  
1, 1, 41680  
1, 1, 38435  
1, 1, 44138  
1, 1, 43034  
1, 1, 36341  
1, 1, 39601  
1, 1, 36699  
1, 1, 41043  
1, 1, 40113  
1, 1, 33818  
1, 1, 37819  
1, 1, 39281  
1, 1, 38974  
1, 1, 35670  
1, 1, 31755  
1, 1, 36608  
1, 1, 34318  
1, 1, 35435  
1, 1, 31045  
1, 1, 36942  
1, 1, 39815  
1, 1, 41301  
1, 1, 39990  
1, 1, 36855  
1, 1, 39502  
1, 1, 39795  
1, 1, 38889  
1, 1, 26020  
1, 1, 32846  
1, 1, 35658  
1, 1, 31760  
1, 1, 42274  
1, 1, 44365  
1, 1, 28871  
1, 1, 35482  
1, 1, 37108  
1, 1, 35590  
1, 1, 38548  
1, 1, 39428  
1, 1, 37288  
1, 1, 39526  
1, 1, 36326  
1, 1, 41288  
1, 1, 45039  
1, 1, 42826  
1, 1, 39091  
1, 1, 39154  
1, 1, 39674  
1, 1, 38470  
1, 1, 39907  
1, 1, 38567  
1, 1, 39352  
1, 1, 38714  
1, 1, 39307  
1, 1, 39122  
1, 1, 55357  
1, 1, 45962  
1, 1, 45127  
1, 1, 46427  
1, 1, 39705  
1, 1, 40529  
1, 1, 40507  
1, 1, 43161  
1, 1, 44152  
1, 1, 42189  
1, 1, 52095  
1, 1, 35463  
1, 1, 18731  
1, 1, 16524  
1, 1, 21205  
1, 1, 13161  
1, 1, 20152  
1, 1, 10846  
1, 1, 40983  
1, 1, 43049  
1, 1, 41521  
1, 1, 42908  
1, 1, 43306  
1, 1, 44361  
1, 1, 50176  
1, 1, 19775  
1, 1, 14617  
1, 1, 19298  
1, 1, 17850  
1, 1, 20254  
1, 1, 19812  
1, 1, 24386  
1, 1, 21837  
1, 1, 18757  
1, 1, 21587  
1, 1, 44667  
1, 1, 19382  
1, 1, 19131  
1, 1, 23297  
1, 1, 17481  
1, 1, 20100  
1, 1, 17343  
1, 1, 16950  
1, 1, 45909  
1, 1, 42609  
1, 1, 41608  
1, 1, 34709  
1, 1, 39034  
1, 1, 39691  
1, 1, 39707  
1, 1, 41945  
1, 1, 41900  
1, 1, 41005  
1, 1, 40767  
1, 1, 44395  
1, 1, 43518  
1, 1, 41271  
1, 1, 40993  
1, 1, 39991  
1, 1, 41085  
1, 1, 39870  
1, 1, 40258  
1, 1, 40801  
1, 1, 38637  
1, 1, 31873  
1, 1, 34488  
1, 1, 48759  
1, 1, 37232  
1, 1, 37732  
1, 1, 36314  
1, 1, 39127  
1, 1, 40575  
1, 1, 40344  
1, 1, 41777  
1, 1, 38499  
1, 1, 40832  
1, 1, 39333  
1, 1, 47272  
1, 1, 40480  
1, 1, 41143  
1, 1, 40613  
1, 1, 40599  
1, 1, 40352  
1, 1, 41770  
1, 1, 39326  
1, 1, 38852  
1, 1, 40307  
1, 1, 41922  
1, 1, 44123  
1, 1, 43999  
1, 1, 40990  
1, 1, 41380  
1, 1, 40835  
1, 1, 38464  
1, 1, 38770  
1, 1, 41193  
1, 1, 39057  
1, 1, 38526  
1, 1, 37814  
1, 1, 41299  
1, 1, 47140  
1, 1, 41624  
1, 1, 39316  
1, 1, 39000  
1, 1, 38730  
1, 1, 39458  
1, 1, 24986  
1, 1, 39104  
1, 1, 38350  
1, 1, 39794  
1, 1, 39531  
1, 1, 48414  
1, 1, 39236  
1, 1, 39011  
1, 1, 39076  
1, 1, 36795  
1, 1, 42245  
1, 1, 38983  
1, 1, 39729  
1, 1, 39054  
1, 1, 39251  
1, 1, 39305  
1, 1, 39895  
1, 1, 48514  
1, 1, 40033  
1, 1, 33679  
1, 1, 39887  
1, 1, 46668  
1, 1, 45545  
1, 1, 44181  
1, 1, 45391  
1, 1, 47189  
1, 1, 46959  
1, 1, 45392  
1, 1, 46633  
1, 1, 47210  
1, 1, 41887  
1, 1, 43756  
1, 1, 48629  
1, 1, 58211  
1, 1, 51135  
1, 1, 51819  
1, 1, 41381  
1, 1, 53367  
1, 1, 40598  
1, 1, 41534  
1, 1, 40401  
1, 1, 43292  
1, 1, 39963  
1, 1, 28579  
1, 1, 37210  
1, 1, 34273  
1, 1, 42405  
1, 1, 44159  
1, 1, 58414  
1, 1, 45272  
1, 1, 36040  
1, 1, 49934  
1, 1, 59775  
1, 1, 51541  
1, 1, 44712  
1, 1, 43893  
1, 1, 42993  
1, 1, 63538  
1, 1, 40681  
1, 1, 51156  
1, 1, 37279  
1, 1, 56397  
1, 1, 38984  
1, 1, 27401  
1, 1, 43343  
1, 1, 43593  
1, 1, 51967  
1, 1, 42572  
1, 1, 49330  
1, 1, 50926  
1, 1, 62305  
1, 1, 33757  
1, 1, 48652  
1, 1, 46257  
1, 1, 34739  
1, 1, 38251  
1, 1, 50124  
1, 1, 44482  
1, 1, 44625  
ProccessID, countOfDetection, Time(ms)
1, 1, 234934  
1, 1, 46215  
1, 1, 53975  
1, 1, 45303  
1, 1, 37071  
1, 1, 22411  
1, 1, 36069  
1, 1, 54527  
1, 1, 31641  
1, 1, 28244  
1, 1, 29357  
1, 1, 31918  
1, 1, 41630  
1, 1, 29814  
1, 1, 36559  
1, 1, 38889  
1, 1, 28901  
1, 1, 33510  
1, 1, 39580  
1, 1, 39540  
1, 1, 50187  
1, 1, 41230  
1, 1, 44315  
1, 1, 32335  
1, 1, 25228  
1, 1, 30374  
1, 1, 32819  
1, 1, 31907  
1, 1, 23915  
1, 1, 30133  
1, 1, 29893  
1, 1, 33509  
1, 1, 49430  
1, 1, 36881  
1, 1, 34626  
1, 1, 32382  
1, 1, 68420  
1, 1, 44878  
1, 1, 42460  
1, 1, 31208  
1, 1, 29728  
1, 1, 29420  
1, 1, 47108  
1, 1, 31909  
1, 1, 29464  
1, 1, 32681  
1, 1, 32659  
1, 1, 31333  
1, 1, 22775  
1, 1, 24026  
1, 1, 39547  
1, 1, 39703  
1, 1, 36783  
1, 1, 35960  
1, 1, 52731  
1, 1, 39402  
1, 1, 34886  
1, 1, 32555  
